cohort_id,covariate_id,mean,sd,database_id
23,78236212,-0.0057,NA,CMSDESynPUF1k
23,315831212,-0.0057,NA,CMSDESynPUF1k
23,4103995212,0.017,0.1306,CMSDESynPUF1k
23,443390212,0.0091,0.0954,CMSDESynPUF1k
23,4266654212,-0.0057,NA,CMSDESynPUF1k
23,4329707212,-0.0057,NA,CMSDESynPUF1k
23,441422212,-0.0057,NA,CMSDESynPUF1k
23,441628212,-0.0057,NA,CMSDESynPUF1k
23,444219212,-0.0057,NA,CMSDESynPUF1k
23,30361212,-0.0057,NA,CMSDESynPUF1k
23,40481632212,-0.0057,NA,CMSDESynPUF1k
23,434459212,-0.0057,NA,CMSDESynPUF1k
23,437528212,-0.0057,NA,CMSDESynPUF1k
23,4108817212,-0.0057,NA,CMSDESynPUF1k
23,4220676212,-0.0057,NA,CMSDESynPUF1k
23,4313223212,-0.0057,NA,CMSDESynPUF1k
23,4177244212,0.0102,0.1012,CMSDESynPUF1k
23,4029295212,-0.0057,NA,CMSDESynPUF1k
23,4157319212,-0.0057,NA,CMSDESynPUF1k
23,4054408212,-0.0057,NA,CMSDESynPUF1k
23,4176800212,-0.0057,NA,CMSDESynPUF1k
23,4295370212,-0.0057,NA,CMSDESynPUF1k
22,4266192212,-0.1923,NA,CMSDESynPUF1k
22,4112141212,-0.1923,NA,CMSDESynPUF1k
22,442105212,-0.1923,NA,CMSDESynPUF1k
22,198124212,0.5385,0.7478,CMSDESynPUF1k
22,437541212,-0.1923,NA,CMSDESynPUF1k
22,4189293212,-0.1923,NA,CMSDESynPUF1k
22,4181062212,-0.1923,NA,CMSDESynPUF1k
23,4113644212,-0.0057,NA,CMSDESynPUF1k
23,437851212,0.0068,0.0826,CMSDESynPUF1k
23,4098148212,-0.0057,NA,CMSDESynPUF1k
23,4028065212,-0.0057,NA,CMSDESynPUF1k
23,440372212,-0.0057,NA,CMSDESynPUF1k
23,438391212,-0.0057,NA,CMSDESynPUF1k
23,193493212,-0.0057,NA,CMSDESynPUF1k
